,team_name,player_name,player_id,position,started,played,minutes,fg_made,fg_attempted,three_pt_made,three_pt_attempted,ft_made,ft_attempted,oreb,dreb,reb,ast,stl,blk,to,pf,plusminus,pts,matchup_id
0,TOR,luis-scola,1781,PF,yes,yes,21,3,7,0,2,0,0,1,6,7,1,0,1,1,1,13,6,400828416
1,TOR,james-johnson,3999,PF,yes,yes,26,3,6,0,1,2,2,2,3,5,0,0,2,2,3,19,8,400828416
2,TOR,jonas-valanciunas,6477,C,yes,yes,30,8,13,0,0,6,6,4,7,11,0,1,2,3,1,20,22,400828416
3,TOR,kyle-lowry,3012,PG,yes,yes,36,7,14,0,7,3,3,0,8,8,6,5,0,2,2,1,17,400828416
4,TOR,demar-derozan,3978,SG,yes,yes,36,5,13,1,2,4,5,1,3,4,5,2,0,4,2,21,15,400828416
5,TOR,patrick-patterson,4264,PF,no,yes,26,3,8,2,6,0,0,2,1,3,0,1,1,0,1,5,8,400828416
6,TOR,norman-powell,2595516,SF,no,yes,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,400828416
7,TOR,bruno-caboclo,3113297,SF,no,yes,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,-1,0,400828416
8,TOR,lucas-nogueira,3032980,C,no,yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,400828416
9,TOR,bismack-biyombo,6427,C,no,yes,17,0,3,0,0,0,0,2,2,4,0,0,1,1,3,-4,0,400828416
10,TOR,delon-wright,3064447,PG,no,yes,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,400828416
11,TOR,cory-joseph,6446,PG,no,yes,23,4,9,0,1,2,2,0,3,3,3,1,0,3,1,18,10,400828416
12,TOR,terrence-ross,6619,SG,no,yes,19,1,5,1,3,0,0,0,2,2,0,1,0,0,0,-8,3,400828416
13,BKN,thaddeus-young,3244,PF,yes,yes,31,5,13,0,1,1,1,0,7,7,2,2,0,2,3,-15,11,400828416
14,BKN,bojan-bogdanovic,3593,SF,yes,yes,35,4,10,2,4,2,2,0,2,2,3,0,0,1,2,-3,12,400828416
15,BKN,brook-lopez,3448,C,yes,yes,40,11,21,0,0,2,5,5,8,13,1,1,3,3,2,-9,24,400828416
16,BKN,shane-larkin,2596158,PG,yes,yes,30,4,8,1,4,0,0,0,5,5,4,3,0,1,4,-10,9,400828416
17,BKN,joe-johnson,1007,SG,yes,yes,32,2,7,1,2,0,0,0,2,2,1,0,0,3,3,-18,5,400828416
18,BKN,thomas-robinson,6618,PF,no,yes,12,0,2,0,0,0,0,0,1,1,1,0,0,0,0,4,0,400828416
19,BKN,andrea-bargnani,2987,C,no,yes,6,1,2,0,0,1,2,0,2,2,0,0,0,0,0,-6,3,400828416
20,BKN,willie-reed,2326015,C,no,yes,8,1,2,0,0,1,2,0,1,1,0,0,1,0,1,-8,3,400828416
21,BKN,donald-sloan,4303,PG,no,yes,19,1,3,0,0,0,0,0,3,3,4,1,0,4,0,-7,2,400828416
22,BKN,sergey-karasev,2959745,SG,no,yes,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,400828416
23,BKN,wayne-ellington,3981,SG,no,yes,23,2,8,1,4,0,0,1,2,3,1,1,0,3,3,-11,5,400828416
24,BKN,markel-brown,2530750,SG,no,yes,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,400828416
25,DEN,kenneth-faried,6433,PF,yes,yes,18,1,8,0,0,1,2,2,5,7,0,2,0,0,2,-11,3,400828417
26,DEN,danilo-gallinari,3428,SF,yes,yes,35,6,15,2,2,6,7,0,7,7,4,0,0,2,1,0,20,400828417
27,DEN,nikola-jokic,3112335,C,yes,yes,26,2,5,0,1,0,0,2,3,5,3,0,0,2,1,-7,4,400828417
28,DEN,jameer-nelson,2439,PG,yes,yes,20,2,8,2,4,0,0,0,0,0,3,0,0,2,1,-10,6,400828417
29,DEN,gary-harris,2999547,SG,yes,yes,24,3,6,2,4,0,0,0,0,0,0,0,0,0,1,-12,8,400828417
30,DEN,darrell-arthur,3413,PF,no,yes,30,3,8,1,4,0,0,3,3,6,5,1,2,0,3,13,7,400828417
31,DEN,will-barton,6579,SF,no,yes,26,2,6,1,2,2,2,2,4,6,1,0,0,3,3,15,7,400828417
32,DEN,kostas-papanikolaou,4195,SF,no,yes,11,2,4,0,1,0,0,0,2,2,0,0,0,1,0,5,4,400828417
33,DEN,jusuf-nurkic,3102530,C,no,yes,22,6,14,0,0,3,6,3,7,10,2,0,5,1,5,9,15,400828417
34,DEN,mike-miller,558,SG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,400828417
35,DEN,randy-foye,3003,SG,no,yes,28,2,7,0,2,0,0,1,2,3,3,0,0,0,2,16,4,400828417
36,DEN,joffrey-lauvergne,2959753,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828417
37,DEN,jj-hickson,3437,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828417
38,MIN,kevin-garnett,261,PF,yes,yes,21,2,4,0,0,0,0,1,3,4,4,1,1,2,3,11,4,400828417
39,MIN,tayshaun-prince,1724,SF,yes,yes,33,3,5,0,0,0,0,0,3,3,2,1,1,0,2,3,6,400828417
40,MIN,andrew-wiggins,3059319,SF,yes,yes,31,4,14,0,1,3,6,1,2,3,1,0,0,4,0,-2,11,400828417
41,MIN,karl-anthony-towns,3136195,C,yes,yes,32,6,14,0,1,2,2,4,10,14,2,0,2,0,2,1,14,400828417
42,MIN,ricky-rubio,4011,PG,yes,yes,31,3,8,2,4,1,2,0,4,4,7,1,0,0,2,5,9,400828417
43,MIN,gorgui-dieng,2534781,C,no,yes,27,0,4,0,0,0,0,2,6,8,2,1,1,0,2,-13,0,400828417
44,MIN,nikola-pekovic,3453,C,no,yes,16,3,4,0,0,6,6,0,2,2,0,0,0,2,3,-5,12,400828417
45,MIN,zach-lavine,3064440,PG,no,yes,17,1,5,0,1,0,0,0,0,0,4,1,0,1,2,-9,2,400828417
46,MIN,shabazz-muhammad,2993875,SG,no,yes,16,3,6,0,1,1,2,0,0,0,0,0,0,0,1,-5,7,400828417
47,MIN,kevin-martin,2394,SG,no,yes,16,3,9,1,3,2,2,0,2,2,1,0,0,0,2,-6,9,400828417
48,MIN,nemanja-bjelica,4269,PF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828417
49,MIN,adreian-payne,2531100,PF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828417
50,MIN,andre-miller,557,PG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828417
51,DAL,charlie-villanueva,2792,PF,yes,yes,21,1,10,0,5,0,0,1,5,6,0,0,0,0,2,-8,2,400828418
52,DAL,chandler-parsons,6466,SF,yes,yes,31,9,16,0,5,3,3,1,7,8,6,0,0,2,2,-3,21,400828418
53,DAL,javale-mcgee,3452,C,yes,yes,19,4,8,0,0,0,0,4,2,6,0,0,4,1,1,-4,8,400828418
54,DAL,raymond-felton,2753,PG,yes,yes,37,6,14,3,6,7,7,0,2,2,6,1,0,0,4,0,22,400828418
55,DAL,jj-barea,3055,PG,yes,yes,29,4,11,2,6,1,2,1,3,4,1,0,0,4,2,-7,11,400828418
56,DAL,jeremy-evans,4295,F,no,yes,25,3,6,0,1,2,2,1,4,5,1,1,0,1,1,16,8,400828418
57,DAL,dwight-powell,2531367,C,no,yes,30,4,9,0,0,5,6,3,7,10,2,2,2,1,3,14,13,400828418
58,DAL,devin-harris,2382,PG,no,yes,26,4,8,1,3,1,2,0,6,6,4,2,0,1,3,20,10,400828418
59,DAL,john-jenkins,6594,SG,no,yes,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,400828418
60,DAL,justin-anderson,2982340,SG,no,yes,17,2,4,1,2,0,0,0,4,4,2,1,0,0,0,13,5,400828418
61,DAL,salah-mejri,2968458,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828418
62,DAL,zaza-pachulia,2016,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828418
63,DAL,wesley-matthews,4032,SG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828418
64,NO,anthony-davis,6583,PF,yes,yes,42,11,25,0,3,4,5,5,6,11,7,2,3,3,3,-3,26,400828418
65,NO,alonzo-gee,4232,SF,yes,yes,18,0,4,0,3,0,0,1,5,6,1,0,0,0,1,8,0,400828418
66,NO,omer-asik,3414,C,yes,yes,19,3,6,0,0,0,0,6,1,7,0,0,2,2,0,3,6,400828418
67,NO,eric-gordon,3431,SG,yes,yes,23,5,9,4,7,0,0,1,0,1,3,0,0,1,1,2,14,400828418
68,NO,tyreke-evans,3983,SG,yes,yes,35,6,13,1,4,3,4,0,9,9,5,2,0,2,3,3,16,400828418
69,NO,ryan-anderson,3412,PF,no,yes,29,2,12,0,6,6,7,0,3,3,0,1,0,0,0,-14,10,400828418
70,NO,dante-cunningham,3974,SF,no,yes,14,1,4,1,3,1,2,0,4,4,0,1,0,0,1,-7,4,400828418
71,NO,alexis-ajinca,3410,C,no,yes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,400828418
72,NO,norris-cole,6431,PG,no,yes,28,1,6,0,1,2,2,1,3,4,0,0,0,0,3,-18,4,400828418
73,NO,jrue-holiday,3995,PG,no,yes,29,5,13,1,3,0,0,1,5,6,6,1,0,2,5,-16,11,400828418
74,NO,luke-babbitt,4250,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828418
75,NO,kendrick-perkins,2018,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400828418
