,team_name,player_name,player_id,position,started,played,minutes,fg_made,fg_attempted,three_pt_made,three_pt_attempted,ft_made,ft_attempted,oreb,dreb,reb,ast,stl,blk,to,pf,plusminus,pts,matchup_id
0,LAC,luc-mbah-a-moute,3451,PF,yes,yes,18,0,1,0,1,0,0,0,2,2,0,0,1,0,1,-4,0,400900096
1,LAC,blake-griffin,3989,PF,yes,yes,29,3,11,0,0,6,10,2,9,11,5,1,0,6,2,3,12,400900096
2,LAC,deandre-jordan,3442,C,yes,yes,31,3,4,0,0,4,12,6,14,20,3,0,0,2,3,-9,10,400900096
3,LAC,austin-rivers,6617,PG,yes,yes,39,7,15,4,7,2,4,1,1,2,3,1,0,2,5,-9,20,400900096
4,LAC,jj-redick,3024,SG,yes,yes,35,6,15,5,10,5,6,0,1,1,1,0,0,2,3,-5,22,400900096
5,LAC,marreese-speights,3460,PF,no,yes,13,3,6,3,5,0,0,0,1,1,0,0,0,2,2,-4,9,400900096
6,LAC,brandon-bass,2745,PF,no,yes,12,0,1,0,0,6,6,1,1,2,0,0,0,0,0,0,6,400900096
7,LAC,wesley-johnson,4247,SF,no,yes,12,1,1,0,0,0,0,1,4,5,0,0,0,0,3,-3,2,400900096
8,LAC,raymond-felton,2753,PG,no,yes,17,1,3,0,2,0,0,0,1,1,3,1,0,0,3,-12,2,400900096
9,LAC,jamal-crawford,165,SG,no,yes,33,9,14,6,9,3,3,0,1,1,2,1,0,3,0,-12,27,400900096
10,LAC,paul-pierce,662,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400900096
11,LAC,chris-paul,2779,PG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400900096
12,LAC,alan-anderson,6569,SG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400900096
13,PHI,ersan-ilyasova,2767,PF,yes,yes,22,3,9,2,5,2,2,0,5,5,3,1,0,0,5,-4,10,400900096
14,PHI,robert-covington,2490620,SF,yes,yes,37,6,15,2,8,0,0,4,4,8,2,3,2,1,5,13,14,400900096
15,PHI,nerlens-noel,2991280,C,yes,yes,29,8,10,0,0,3,3,1,7,8,5,2,3,1,4,-2,19,400900096
16,PHI,tj-mcconnell,2530530,PG,yes,yes,28,4,9,0,1,1,1,0,0,0,10,0,0,1,0,-11,9,400900096
17,PHI,nik-stauskas,2991042,SG,yes,yes,24,3,5,2,3,0,0,0,1,1,2,1,0,1,2,-2,8,400900096
18,PHI,richaun-holmes,2993370,PF,no,yes,19,8,11,1,1,1,1,0,3,3,0,0,1,0,3,13,18,400900096
19,PHI,dario-saric,3032978,PF,no,yes,26,4,10,0,2,8,9,1,7,8,2,1,1,0,2,15,16,400900096
20,PHI,sergio-rodriguez,3025,PG,no,yes,20,4,12,1,5,0,0,0,3,3,7,0,0,1,0,22,9,400900096
