,team_name,player_name,player_id,position,started,played,minutes,fg_made,fg_attempted,three_pt_made,three_pt_attempted,ft_made,ft_attempted,oreb,dreb,reb,ast,stl,blk,to,pf,plusminus,pts,matchup_id
0,BOS,kevin-garnett,261.0,PF,yes,yes,37,4,12,0,1,0,0,0,9,9,4,0,1,3,5,-8,8,400459776.0
1,BOS,brandon-bass,2745.0,PF,yes,yes,33,2,2,0,0,0,0,1,9,10,1,0,0,0,2,2,4,400459776.0
2,BOS,paul-pierce,662.0,SF,yes,yes,39,6,15,1,7,8,8,0,5,5,7,1,0,6,2,4,21,400459776.0
3,BOS,jeff-green,3209.0,SF,yes,yes,46,8,15,3,5,7,7,2,5,7,2,0,3,6,3,-7,26,400459776.0
4,BOS,avery-bradley,4240.0,SG,yes,yes,35,7,14,1,2,0,0,1,2,3,4,3,0,4,3,-8,15,400459776.0
5,BOS,jordan-crawford,4243.0,SG,no,yes,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-6,0,400459776.0
6,BOS,courtney-lee,3445.0,SG,no,yes,20,0,2,0,1,4,4,0,2,2,0,1,0,0,1,-9,4,400459776.0
7,BOS,jason-terry,841.0,SG,no,yes,20,0,5,0,4,0,0,0,3,3,0,0,1,1,1,-3,0,400459776.0
8,BOS,shavlik-randolph,2810.0,PF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400459776.0
9,BOS,dj-white,3469.0,PF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400459776.0
10,BOS,chris-wilcox,1731.0,PF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400459776.0
11,BOS,fab-melo,6608.0,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400459776.0
12,BOS,terrence-williams,4019.0,SG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400459776.0
13,NY,carmelo-anthony,1975.0,PF,yes,yes,41,13,29,4,6,6,6,0,6,6,1,4,0,3,3,-3,36,400459776.0
14,NY,chris-copeland,6635.0,SF,yes,yes,13,0,3,0,2,0,0,0,1,1,0,1,0,0,1,11,0,400459776.0
