,team_name,player_name,player_id,position,started,played,minutes,fg_made,fg_attempted,three_pt_made,three_pt_attempted,ft_made,ft_attempted,oreb,dreb,reb,ast,stl,blk,to,pf,plusminus,pts,matchup_id
0,PHI,elton-brand,91,PF,yes,yes,15,2,5,0,0,0,2,0,1,1,1,0,2,0,0,3,4,320512002
1,PHI,spencer-hawes,3211,PF,yes,yes,34,6,12,0,0,3,4,1,7,8,3,1,2,1,3,5,15,320512002
2,PHI,andre-iguodala,2386,SF,yes,yes,41,7,16,3,5,2,2,2,4,6,6,2,0,2,3,3,19,320512002
3,PHI,evan-turner,4239,SF,yes,yes,42,7,13,0,0,2,2,2,8,10,3,4,1,4,1,4,16,320512002
4,PHI,jrue-holiday,3995,PG,yes,yes,37,3,13,0,4,2,2,1,5,6,4,1,2,1,2,-3,8,320512002
5,PHI,craig-brackins,4254,PF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,320512002
6,PHI,lavoy-allen,6424,PF,no,yes,20,5,7,0,0,2,2,2,4,6,2,1,1,0,3,6,12,320512002
7,PHI,thaddeus-young,3244,PF,no,yes,22,1,4,0,0,3,6,0,1,1,0,0,0,0,1,-11,5,320512002
8,PHI,jodie-meeks,4003,SG,no,yes,6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,-5,3,320512002
9,PHI,lou-williams,2799,SG,no,yes,24,4,11,1,4,0,0,0,3,3,0,0,0,3,1,-7,9,320512002
10,PHI,sam-young,4020,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320512002
11,PHI,tony-battie,45,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320512002
12,PHI,nikola-vucevic,6478,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320512002
13,PHI,xavier-silas,6499,G,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320512002
14,BOS,kevin-garnett,261,PF,yes,yes,38,12,20,0,0,5,5,0,11,11,1,1,3,2,2,4,29,320512002
15,BOS,brandon-bass,2745,PF,yes,yes,24,4,9,0,0,2,2,2,2,4,0,0,0,0,0,-13,10,320512002
16,BOS,paul-pierce,662,SF,yes,yes,40,3,11,0,2,8,8,0,6,6,6,0,2,2,0,-3,14,320512002
17,BOS,rajon-rondo,3026,PG,yes,yes,40,6,15,0,3,1,2,5,7,12,17,4,0,7,5,0,13,320512002
18,BOS,avery-bradley,4240,SG,yes,yes,27,4,11,0,4,0,0,0,4,4,1,1,1,2,0,-3,8,320512002
19,BOS,jajuan-johnson,6445,PF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,320512002
20,BOS,sean-williams,3239,PF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,320512002
21,BOS,mickael-pietrus,2173,SF,no,yes,11,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,320512002
22,BOS,greg-stiemsma,4235,C,no,yes,9,0,0,0,0,0,0,1,1,2,0,0,1,0,4,-5,0,320512002
23,BOS,ryan-hollins,3008,C,no,yes,10,1,2,0,0,0,0,0,1,1,0,0,0,0,1,3,2,320512002
24,BOS,keyon-dooling,209,PG,no,yes,9,2,2,0,0,0,0,0,2,2,2,1,0,0,2,3,4,320512002
25,BOS,ray-allen,9,SG,no,yes,33,4,10,2,7,2,2,1,2,3,1,0,0,0,2,17,12,320512002
26,BOS,etwaun-moore,6460,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320512002
27,BOS,sasha-pavlovic,2172,SG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320512002
28,BOS,marquis-daniels,2200,SG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320512002
29,UTAH,paul-millsap,3015,PF,yes,yes,22,2,9,0,0,0,0,3,2,5,1,2,0,2,2,-16,4,320213003
30,UTAH,gordon-hayward,4249,SF,yes,yes,31,3,6,0,1,2,2,0,1,1,2,0,2,3,1,8,8,320213003
31,UTAH,al-jefferson,2389,C,yes,yes,26,6,14,0,1,2,2,4,8,12,1,2,2,0,1,-9,14,320213003
32,UTAH,devin-harris,2382,PG,yes,yes,19,1,4,0,2,0,0,0,1,1,4,0,0,3,2,-14,2,320213003
33,UTAH,raja-bell,49,SG,yes,yes,21,4,6,3,4,0,0,0,0,0,1,0,0,1,2,-3,11,320213003
34,UTAH,derrick-favors,4257,PF,no,yes,26,6,11,0,0,2,2,3,2,5,0,0,1,3,3,10,14,320213003
35,UTAH,jeremy-evans,4295,F,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320213003
36,UTAH,demarre-carroll,3970,SF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320213003
37,UTAH,cj-miles,2778,SF,no,yes,17,1,8,0,4,3,5,1,1,2,2,0,0,2,1,-14,5,320213003
38,UTAH,josh-howard,2006,SF,no,yes,13,0,1,0,0,0,0,1,0,1,0,0,0,1,2,-14,0,320213003
39,UTAH,enes-kanter,6447,C,no,yes,22,3,7,0,0,0,2,5,7,12,0,1,1,0,2,3,6,320213003
40,UTAH,jamaal-tinsley,1024,PG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320213003
41,UTAH,earl-watson,1027,PG,no,yes,29,3,4,1,2,0,0,1,1,2,5,1,1,3,3,8,7,320213003
42,UTAH,alec-burks,6429,SG,no,yes,14,1,3,0,0,7,10,0,4,4,1,2,0,0,3,11,9,320213003
43,NO,gustavo-alfonso-ayon,6546,PF,yes,yes,36,6,7,0,0,1,2,3,6,9,1,1,3,0,5,-3,13,320213003
44,NO,trevor-ariza,2426,SF,yes,yes,33,3,8,1,2,2,2,1,4,5,5,2,0,0,1,9,9,320213003
45,NO,chris-kaman,1982,C,yes,yes,42,12,22,0,0,3,4,6,7,13,2,2,1,3,3,11,27,320213003
46,NO,greivis-vasquez,4291,PG,yes,yes,38,4,12,1,2,3,4,0,4,4,10,3,0,2,3,11,12,320213003
47,NO,marco-belinelli,3190,SG,yes,yes,34,3,13,1,5,6,6,0,0,0,2,2,0,1,3,2,13,320213003
48,NO,carl-landry,3217,PF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320213003
49,NO,jason-smith,3232,PF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320213003
