,team_name,player_name,player_id,position,started,played,minutes,fg_made,fg_attempted,three_pt_made,three_pt_attempted,ft_made,ft_attempted,oreb,dreb,reb,ast,stl,blk,to,pf,plusminus,pts,matchup_id
0,PHI,thaddeus-young,3244.0,PF,yes,yes,30,4,7,1,1,0,0,0,4,4,4,1,0,4,3,-2,9,300118016.0
1,PHI,andre-iguodala,2386.0,SF,yes,yes,41,6,12,2,3,3,4,2,5,7,5,1,1,4,2,-10,17,300118016.0
2,PHI,samuel-dalembert,991.0,C,yes,yes,36,6,9,0,0,0,0,0,10,10,0,0,3,0,2,-4,12,300118016.0
3,PHI,allen-iverson,366.0,SG,yes,yes,35,4,12,0,2,3,4,0,4,4,9,1,0,5,1,-6,11,300118016.0
4,PHI,lou-williams,2799.0,SG,yes,yes,27,6,11,1,3,2,2,0,1,1,0,1,0,0,3,-3,15,300118016.0
5,PHI,marreese-speights,3460.0,PF,no,yes,17,5,8,0,0,1,2,0,4,4,1,2,0,0,3,-1,11,300118016.0
6,PHI,jason-smith,3232.0,PF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300118016.0
7,PHI,elton-brand,91.0,PF,no,yes,27,3,7,0,0,4,8,3,4,7,1,3,1,1,1,-6,10,300118016.0
8,PHI,primoz-brezec,94.0,C,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,300118016.0
9,PHI,jrue-holiday,3995.0,PG,no,yes,11,1,3,0,1,0,0,0,1,1,3,0,0,0,2,7,2,300118016.0
10,PHI,royal-ivey,2387.0,PG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300118016.0
11,PHI,rodney-carney,2995.0,SG,no,yes,10,0,5,0,3,0,0,0,1,1,0,0,0,0,1,4,0,300118016.0
12,PHI,willie-green,2004.0,SG,no,yes,32,5,9,2,6,4,4,0,0,0,0,0,0,0,3,-4,16,300118016.0
13,PHI,jason-kapono,2010.0,SG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300118016.0
14,MIN,ryan-gomes,2757.0,SF,yes,yes,35,7,12,2,2,0,0,0,5,5,2,1,0,1,1,6,16,300118016.0
15,MIN,corey-brewer,3191.0,SF,yes,yes,37,2,9,1,3,2,4,3,0,3,2,1,0,2,4,11,7,300118016.0
16,MIN,al-jefferson,2389.0,C,yes,yes,46,10,19,0,0,3,3,4,9,13,0,0,1,2,1,4,23,300118016.0
17,MIN,jonny-flynn,3985.0,PG,yes,yes,43,9,16,2,2,9,10,0,4,4,9,2,0,3,2,12,29,300118016.0
18,MIN,damien-wilkins,2506.0,SG,yes,yes,39,6,14,0,2,1,1,3,7,10,2,1,0,1,3,14,13,300118016.0
19,MIN,brian-cardinal,130.0,PF,no,yes,12,2,3,1,1,4,4,1,1,2,3,0,0,0,2,1,9,300118016.0
